T,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9
227,1,0,0,0,1,1,1,1,1
228,1,1,1,1,1,1,1,1,1
229,1,0,0,0,1,1,1,1,1
230,1,0,0,0,1,1,1,1,1
231,1,1,1,1,1,1,1,1,1
232,1,1,1,1,1,1,1,1,1
233,0,0,1,0,0,0,1,0,1
234,1,1,1,1,1,1,1,1,1
235,1,1,1,1,1,1,1,0,1
236,0,1,1,0,0,1,1,0,1
237,1,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1,1
239,1,1,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1,1,1
245,1,1,1,1,1,1,1,1,1
246,1,1,0,1,1,1,1,1,1
247,1,1,0,1,1,1,1,1,1
248,0,1,0,0,0,0,1,0,1
249,1,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1,1
251,0,1,1,0,1,1,1,1,1
252,1,1,1,0,0,1,1,1,1
253,1,1,1,0,0,1,1,1,1
254,0,1,1,0,1,1,1,1,1
255,0,1,1,0,1,1,1,1,1
256,1,1,1,1,1,1,1,1,1
257,0,1,1,0,0,1,1,0,1
258,1,1,1,1,0,1,1,1,0
259,1,1,1,1,1,1,1,1,1
260,0,1,1,0,0,1,1,0,1
261,0,1,1,0,0,0,0,0,1
262,1,1,1,1,0,1,1,1,1
263,1,1,1,0,0,1,1,0,1
264,1,1,1,0,1,1,1,0,1
265,1,1,1,0,1,1,1,1,1
266,0,1,1,0,1,1,1,0,1
267,1,1,0,0,0,0,1,0,0
268,0,1,1,0,1,1,1,0,1
269,1,1,1,0,0,1,1,0,1
270,1,0,0,0,0,1,1,0,1
271,1,0,0,0,0,1,1,0,1
272,1,0,0,0,0,1,1,0,1
273,1,0,0,0,0,1,1,0,1
274,1,1,0,0,1,1,1,0,1
275,1,0,0,0,1,1,1,0,1
276,1,1,1,0,1,1,1,0,1
277,1,0,1,0,1,1,1,0,1
278,1,1,0,0,0,1,1,0,1
279,1,0,1,1,1,1,1,1,1
280,1,0,1,1,1,1,1,1,1
281,1,1,1,1,0,1,1,0,1
282,1,0,0,1,0,1,1,0,1
283,1,1,1,1,0,1,1,0,1
284,1,1,1,1,0,1,1,0,1
285,1,0,0,0,1,1,1,1,1
286,1,0,0,0,1,1,1,1,1
287,1,0,0,0,1,1,1,1,1
288,1,1,1,1,1,1,1,1,1
