T,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10
99,1,0,1,1,1,1,1,1,1,1
100,1,1,1,1,0,1,1,1,1,1
101,0,1,1,1,0,1,1,1,1,0
102,0,0,1,0,0,0,0,0,1,1
103,0,0,1,0,0,0,0,0,1,1
104,1,1,1,1,0,1,1,1,1,1
105,1,1,1,1,0,1,1,1,1,0
106,1,1,1,1,0,1,1,1,1,1
107,1,1,1,1,0,1,1,1,1,1
108,0,0,1,0,0,0,0,0,1,1
109,1,0,1,1,1,1,1,1,1,1
110,0,1,1,1,0,1,1,1,1,0
111,1,1,1,1,0,1,1,1,1,0
112,0,1,1,1,0,1,1,1,1,0
113,1,1,1,1,0,1,1,1,1,0
114,0,1,1,1,0,1,1,1,1,0
115,1,1,1,1,0,1,1,1,1,0
116,1,1,1,1,0,1,1,1,1,1
117,0,1,1,1,0,1,1,1,1,0
118,0,1,1,1,0,1,1,1,1,0
119,1,1,1,1,0,1,1,1,1,1
120,0,1,1,1,0,1,1,1,1,0
121,0,1,1,1,0,1,1,1,1,0
122,0,1,1,1,0,1,1,1,1,0
123,0,1,1,1,0,1,1,1,1,0
124,0,1,1,1,0,1,1,1,1,0
125,0,1,1,1,0,1,0,1,1,0
126,0,1,1,1,0,1,1,1,1,0
127,0,1,1,1,1,1,1,1,1,1
128,0,1,1,1,0,1,1,1,1,0
129,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,0,1,1,1,1,1
131,0,1,1,1,0,1,1,1,1,0
132,1,1,1,1,1,1,1,1,1,0
133,1,1,1,1,1,1,1,1,1,0
134,1,1,1,1,1,1,1,1,1,1
135,0,1,1,1,0,1,1,1,1,0
136,1,1,1,1,1,1,1,1,1,0
137,0,1,1,1,0,1,1,1,1,0
138,0,1,1,1,0,1,1,1,1,0
139,0,1,1,1,0,1,1,1,1,0
140,0,1,1,1,0,1,1,1,1,0
141,0,1,1,1,0,1,1,1,1,0
142,0,1,1,1,0,1,1,1,1,0
143,0,1,1,1,0,1,1,1,1,0
144,0,1,1,1,0,1,1,1,1,0
145,0,1,1,1,0,1,1,1,1,0
146,0,1,1,1,0,1,1,1,1,0
147,1,1,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,1
149,1,1,1,1,0,1,1,1,1,0
150,1,1,1,1,1,1,1,1,1,1
151,0,0,1,1,0,0,1,1,1,0
152,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1
154,0,0,1,1,0,1,1,1,1,0
155,1,1,1,1,1,1,1,1,1,1
156,1,1,1,1,0,1,1,1,1,0
157,0,1,1,1,0,1,1,1,1,0
158,0,1,1,0,0,1,1,1,1,0
159,1,1,1,1,1,1,1,1,1,1
160,0,1,1,1,0,1,1,1,1,0
161,0,1,1,1,0,1,1,1,1,0
162,0,1,1,1,0,1,1,1,1,0
163,0,1,1,1,0,1,1,1,1,0
164,0,1,1,1,0,1,1,1,1,0
165,0,1,1,1,0,1,1,1,1,0
166,1,1,1,1,1,1,1,1,1,0
167,0,1,1,0,0,1,1,1,1,0
168,0,1,1,1,1,1,1,1,1,1
169,0,1,1,1,0,1,1,1,1,0
170,0,0,1,1,0,0,1,1,1,0
171,0,0,1,0,0,0,0,0,1,1
172,0,1,1,0,0,1,1,1,1,0
173,0,0,1,1,0,0,1,1,1,0
174,0,0,1,1,0,0,0,0,1,0
175,0,1,1,1,0,1,1,1,1,0
176,0,0,1,0,0,0,1,1,0,0
177,0,0,1,0,0,0,1,1,0,0
178,1,1,1,1,1,1,1,1,1,1
179,0,0,1,0,0,0,1,1,0,0
180,0,0,1,0,0,0,1,1,0,0
181,0,0,1,0,0,0,1,1,0,0
182,0,0,1,0,0,0,1,1,0,0
183,1,1,1,1,0,1,1,1,1,0
184,1,1,1,1,0,1,1,1,1,1
185,1,1,1,1,0,1,1,1,1,1
186,0,1,1,1,0,1,1,1,1,0
187,0,1,1,0,0,1,1,1,1,0
188,0,0,1,1,0,0,0,0,1,0
189,0,0,1,1,0,1,1,1,1,0
190,0,0,1,0,0,0,0,0,1,1
191,0,0,1,1,0,1,1,1,1,0
192,0,1,1,0,0,1,1,1,1,0
193,0,0,1,0,0,0,0,0,1,1
194,0,0,1,1,0,1,1,1,1,1
195,0,0,1,1,0,0,0,0,1,0
196,0,1,1,0,0,1,1,1,1,0
197,0,0,1,0,0,0,0,0,1,1
198,0,0,1,0,0,0,1,1,0,0
199,0,0,1,1,0,0,0,0,1,0
200,0,0,1,0,0,0,1,1,0,0
201,0,0,1,0,0,0,0,0,1,1
202,1,1,1,1,0,1,1,1,1,0
203,0,1,1,1,0,1,1,1,1,0
204,0,1,1,0,0,0,0,0,1,0
205,0,1,1,1,0,1,1,1,1,0
206,0,1,1,1,0,1,1,1,1,0
207,0,1,1,1,0,1,1,1,1,0
208,0,1,1,1,0,1,1,1,1,0
209,0,1,1,1,0,1,1,1,1,0
210,0,1,1,1,0,1,1,1,1,0
211,0,1,1,0,0,0,0,0,1,0
212,0,1,1,1,0,1,1,1,1,0
213,0,1,1,1,0,1,1,1,1,0
214,0,1,1,1,0,1,1,1,1,0
215,0,1,1,1,0,1,1,1,1,0
216,0,1,1,1,0,1,1,1,1,0
217,1,1,1,1,0,1,1,1,1,1
218,0,1,1,0,0,0,0,0,1,0
219,0,0,1,0,0,0,1,1,0,0
220,0,0,1,0,0,0,1,1,0,0
221,0,0,1,0,0,0,1,1,0,0
222,0,1,1,0,0,0,0,0,1,0
223,0,1,1,1,0,1,1,1,1,0
224,0,0,1,1,0,0,1,1,1,0
225,1,1,1,1,0,1,1,1,1,1
226,0,1,1,0,0,0,0,0,1,0
227,0,1,1,1,0,1,1,1,1,0
228,0,0,1,1,0,1,1,1,1,0
229,1,1,1,0,1,1,0,1,1,0
230,0,1,1,1,0,1,1,1,1,0
231,0,1,1,1,0,1,1,1,1,0
232,1,1,1,1,1,1,1,1,1,1
233,0,1,1,1,0,1,1,1,1,1
234,0,1,1,1,0,1,1,1,1,0
235,0,1,1,0,0,1,1,1,1,0
236,0,1,1,0,0,1,1,1,1,0
237,0,1,1,0,0,1,1,1,1,0
238,0,1,1,1,0,1,1,1,1,0
239,0,1,1,1,0,1,1,1,1,0
240,1,1,1,1,0,1,1,1,1,1
241,0,1,1,1,0,1,1,1,1,0
242,0,1,1,1,0,1,1,1,1,0
243,0,1,1,0,0,0,0,0,1,0
244,0,1,1,1,0,1,1,1,1,0
245,0,1,1,1,0,1,1,1,1,0
246,0,1,1,1,0,1,1,1,1,0
247,0,0,1,0,0,0,1,1,0,0
248,0,0,1,1,0,1,1,1,1,0
249,1,1,1,0,1,1,0,1,1,0
250,0,1,1,1,0,1,1,1,1,0
251,0,1,1,0,0,0,0,0,1,0
252,1,1,1,1,1,1,1,1,1,1
253,0,0,1,1,0,1,1,1,1,0
254,0,1,1,1,0,1,1,1,1,0
255,0,1,1,1,0,1,1,1,1,0
256,1,1,1,1,0,1,1,1,1,0
257,0,1,1,1,0,1,1,1,1,0
258,0,0,1,1,0,1,1,1,1,0
259,1,1,1,1,0,1,0,1,1,0
260,0,1,1,1,0,1,1,1,1,0
261,0,1,1,0,0,0,0,0,1,0
262,0,1,1,0,0,0,0,0,1,0
263,0,1,1,1,0,1,1,1,1,0
264,0,1,1,1,0,1,1,1,1,0
265,0,1,1,1,0,1,1,1,1,0
266,1,1,1,1,0,1,1,1,1,1
267,0,1,1,0,0,0,0,0,1,0
268,0,0,0,0,0,0,1,1,0,0
269,0,1,1,1,0,1,1,1,1,0
270,0,1,1,1,0,1,1,1,1,0
271,0,1,1,0,0,0,0,0,1,0
272,0,1,1,1,0,1,1,1,1,0
273,1,1,1,1,0,1,1,1,1,1
274,0,1,1,1,0,1,1,1,1,0
275,0,1,1,1,0,1,1,1,1,0
276,0,1,1,1,0,1,1,1,1,0
277,0,1,1,1,0,1,1,1,1,0
278,1,1,1,0,1,1,1,1,1,0
279,0,1,1,1,0,1,1,1,1,0
280,0,1,1,1,0,1,1,1,1,0
281,0,1,1,1,0,1,1,1,1,0
282,1,1,1,1,0,1,1,1,1,0
283,0,1,1,0,0,0,0,0,1,0
284,1,1,1,1,1,1,1,1,1,0
285,0,1,1,1,0,1,1,1,1,0
286,0,1,1,0,0,0,0,0,1,0
287,0,1,1,1,0,1,1,1,1,0
288,1,1,1,1,1,1,1,1,1,1
289,1,0,1,0,0,1,0,1,1,0
290,0,1,1,1,0,1,1,1,1,0
291,0,1,1,0,0,0,1,1,1,0
292,0,1,1,1,0,1,1,1,1,0
293,0,1,1,0,0,0,1,1,1,0
294,0,0,1,1,0,1,1,1,1,0
295,0,1,1,0,0,0,0,0,1,0
296,0,1,1,1,0,1,1,1,1,0
297,0,1,1,1,0,1,1,1,1,0
298,0,1,1,1,0,1,1,1,1,0
299,0,1,1,1,0,1,1,1,1,0
300,0,1,1,1,0,1,1,1,1,0
301,0,0,1,1,0,1,1,1,1,0
302,0,1,1,1,0,1,1,1,1,0
303,0,1,1,0,0,0,1,1,1,0
304,0,1,1,0,0,0,0,0,1,0
305,1,1,1,1,0,1,1,1,1,0
306,0,1,1,1,0,1,1,1,1,0
307,0,1,1,1,0,1,1,1,1,0
308,1,1,1,1,0,1,1,1,1,0
309,0,1,1,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1,1,1,1
311,1,1,1,1,0,1,1,1,1,0
312,1,1,1,1,0,1,1,1,1,1
313,1,1,1,1,0,1,1,1,1,0
314,1,1,1,1,0,1,1,1,1,0
315,0,1,1,1,0,1,1,1,1,0
316,0,1,1,1,0,1,1,1,1,0
317,1,1,1,1,0,1,1,1,1,0
318,1,1,1,1,1,1,1,1,1,1
319,1,1,1,1,0,1,1,1,1,0
320,0,1,1,1,0,1,1,1,1,0
321,0,0,1,0,0,0,0,0,1,1
322,1,1,1,1,0,1,1,1,1,0
323,0,0,1,0,0,0,0,0,1,1
324,1,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1
327,1,1,1,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,0,1,1,1,1,1
331,0,1,1,1,0,1,1,1,1,0
332,1,1,1,1,0,1,1,1,1,1
333,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,0,1,1,1,1,1
337,0,0,1,1,0,1,1,1,1,0
338,0,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1
341,1,1,1,1,0,1,1,1,1,0
342,0,1,1,1,1,1,1,1,1,1
343,0,0,1,1,0,1,1,1,1,0
344,1,1,1,1,1,1,1,1,1,1
345,0,1,1,1,0,1,1,1,1,0
346,0,1,1,1,1,1,1,1,1,1
347,0,0,1,1,0,1,1,1,1,0
348,1,1,1,1,1,1,1,1,1,1
349,0,0,1,0,0,0,1,1,0,0
350,0,0,1,1,0,1,1,1,1,0
351,0,0,1,0,0,0,1,1,0,0
352,1,1,1,1,1,1,1,1,1,1
353,0,1,1,1,0,1,1,1,1,0
354,1,1,1,1,1,1,1,1,1,1
355,0,1,1,1,0,1,1,1,1,0
356,0,0,1,1,0,1,1,1,1,0
357,0,1,1,1,0,1,1,1,1,0
358,0,1,1,1,0,1,1,1,1,0
359,1,1,1,1,0,1,1,1,1,0
360,0,0,1,1,0,0,1,1,1,0
361,0,1,1,1,1,1,1,1,1,1
362,0,0,1,1,0,1,1,1,1,0
363,0,1,1,0,0,0,0,0,1,0
364,0,1,1,1,0,1,1,1,1,0
365,0,1,1,1,0,1,1,1,1,0
366,0,1,1,0,0,0,0,0,1,0
367,0,1,1,1,0,1,1,1,1,0
368,0,0,1,1,0,0,1,1,1,0
369,1,1,1,1,1,1,1,1,1,1
370,0,1,1,1,0,1,1,1,1,0
371,0,1,1,1,0,1,1,1,1,0
372,0,1,1,1,0,1,0,1,1,0
373,0,1,1,1,0,1,1,1,1,0
374,0,1,1,1,0,0,1,1,1,0
375,0,1,1,1,0,1,1,1,1,0
376,0,1,1,1,0,1,1,1,1,0
377,0,1,1,1,0,1,1,1,1,0
378,0,0,1,1,0,0,1,1,1,0
379,0,1,1,1,0,1,1,1,1,0
380,0,1,1,1,0,1,1,1,1,0
381,0,1,1,1,0,1,1,1,1,0
382,0,0,1,1,0,1,1,1,1,0
383,0,1,1,1,0,1,1,1,1,0
384,0,1,1,1,0,1,1,1,1,0
385,0,1,1,1,0,0,1,1,1,0
386,0,1,1,0,0,0,0,0,1,0
387,0,0,1,0,0,0,0,1,0,0
388,1,1,1,1,0,1,0,1,1,1
389,0,1,1,1,0,1,1,1,1,0
390,0,1,1,1,0,0,1,1,1,0
391,0,1,1,1,0,1,1,1,1,0
392,0,1,1,1,0,0,1,1,1,0
393,1,1,1,1,1,1,1,1,1,1
394,0,1,1,1,0,1,1,1,1,0
395,0,0,0,0,0,0,1,1,0,0
396,0,0,1,1,0,1,1,1,1,0
397,0,0,0,0,0,0,1,1,0,0
398,0,1,1,1,0,0,1,1,1,0
399,0,1,1,1,0,0,1,1,1,0
400,0,0,1,1,0,0,0,0,1,0
401,0,1,1,1,0,0,1,1,1,0
402,0,0,1,0,0,0,1,1,0,0
403,0,0,1,1,0,1,1,1,1,0
404,0,0,0,0,0,0,0,1,0,0
405,0,1,1,1,0,0,1,1,1,0
406,0,1,1,1,0,1,1,1,1,0
407,0,0,1,1,0,1,1,1,1,0
408,1,1,1,1,0,1,1,1,1,1
409,0,0,1,1,0,0,1,1,1,0
410,0,1,1,1,0,1,1,1,1,0
411,0,1,1,1,0,1,1,1,1,0
412,0,1,1,1,0,1,1,1,1,0
413,0,0,1,1,0,0,0,0,1,0
414,0,0,1,1,0,0,1,1,1,0
415,0,1,1,1,0,1,1,1,1,0
416,0,0,1,1,0,1,1,1,1,0
417,0,1,1,0,0,0,0,0,1,0
418,0,1,1,1,0,1,1,1,1,0
419,0,1,1,0,0,1,1,1,1,0
420,0,1,1,1,0,1,1,1,1,0
421,0,1,1,1,0,1,1,1,1,0
422,0,0,1,1,0,1,1,1,1,0
423,0,1,1,1,0,1,1,1,1,0
424,0,0,1,1,0,0,0,0,1,0
425,0,1,1,0,0,0,0,0,1,0
426,0,1,1,1,0,1,1,1,1,0
427,0,0,1,1,0,1,1,1,1,0
428,0,1,1,1,0,1,1,1,1,0
429,0,0,1,0,0,0,0,1,0,0
430,0,0,1,1,0,0,1,1,1,0
431,1,1,1,1,1,1,1,1,1,0
432,1,1,1,1,1,1,1,1,1,1
433,0,1,1,1,0,1,1,1,1,0
434,0,0,1,1,0,1,1,1,1,0
435,0,1,1,1,0,1,1,1,1,0
436,0,1,1,1,0,0,1,1,1,0
437,0,1,1,1,0,1,0,1,1,0
438,0,1,1,1,0,0,1,1,1,0
439,0,1,1,1,0,1,1,1,1,0
440,1,1,1,1,1,1,1,1,1,1
441,0,1,1,1,0,0,1,1,1,0
442,0,1,1,1,0,0,1,1,1,0
443,0,1,1,1,0,0,1,1,1,0
444,0,1,1,0,0,1,1,1,1,0
445,1,1,1,1,0,1,0,1,1,1
446,0,1,1,1,0,0,0,1,1,0
447,0,0,1,1,0,1,1,1,1,0
448,1,1,1,1,0,1,1,1,1,0
449,1,1,1,1,0,1,0,1,1,0
450,0,1,1,1,0,0,1,1,1,0
451,0,1,1,1,0,0,0,1,1,0
452,0,1,1,1,0,1,1,1,1,0
453,0,1,1,1,0,0,1,1,1,0
454,1,1,1,1,0,1,0,1,1,0
455,0,1,1,0,0,0,0,0,1,0
456,0,0,1,1,0,0,0,0,1,0
457,0,0,1,1,0,0,1,1,1,0
458,0,1,1,0,0,1,1,1,1,0
459,0,1,1,1,0,0,0,1,1,0
460,0,1,1,1,0,0,1,1,1,0
461,1,1,1,1,1,1,1,1,1,0
462,1,0,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,1,1,0
464,0,0,1,0,0,0,0,0,1,1
465,0,1,1,0,0,0,0,0,1,0
466,0,0,1,1,0,1,1,1,1,0
467,0,1,1,1,0,1,1,1,1,0
468,0,0,1,0,0,0,0,0,1,1
469,0,0,1,1,0,1,0,1,1,0
470,0,1,1,1,0,0,1,1,1,0
471,0,0,1,1,0,1,1,1,1,0
472,0,0,1,1,0,1,1,1,1,0
473,0,1,1,1,0,1,1,1,1,0
474,0,1,1,1,0,1,1,1,1,0
475,1,1,1,1,1,1,0,1,1,1
476,0,1,1,1,0,1,1,1,1,0
477,0,0,1,0,0,0,1,1,0,0
478,0,0,1,1,0,1,1,1,1,0
479,0,0,1,1,0,1,1,1,1,0
480,0,1,1,0,0,1,1,1,1,0
481,0,1,1,1,0,1,1,1,1,0
482,0,0,1,0,0,0,1,1,0,0
483,0,0,1,1,0,1,1,1,1,0
484,0,1,1,1,0,1,1,1,1,0
485,0,1,1,0,0,0,0,0,1,0
486,0,1,1,1,0,1,1,1,1,0
487,0,0,1,1,0,1,1,1,1,0
488,0,1,1,1,0,0,1,1,1,0
489,0,1,1,0,0,0,0,0,1,0
490,0,1,1,0,0,0,0,0,1,0
491,0,1,1,1,0,1,1,1,1,0
492,0,1,1,1,0,1,1,1,1,0
493,0,1,1,1,0,1,1,1,1,0
494,0,1,1,1,0,1,1,1,1,0
495,0,1,1,1,0,1,1,1,1,0
496,0,0,1,1,0,1,1,1,1,0
497,0,1,1,0,0,0,0,0,1,0
498,0,1,1,1,0,1,1,1,1,0
499,0,1,1,0,0,0,0,0,1,0
500,0,0,1,1,0,0,1,1,1,0
501,1,1,1,1,1,1,1,1,1,1
502,0,1,1,1,0,1,1,1,1,0
503,0,1,1,0,0,0,0,0,1,0
504,0,1,1,0,0,0,0,0,1,0
505,0,1,1,1,0,1,1,1,1,0
506,0,1,1,0,0,0,0,0,1,0
507,0,1,1,1,0,1,1,1,1,0
508,1,1,1,1,0,1,1,1,1,0
509,0,1,1,1,0,1,1,1,1,0
510,1,1,1,1,1,1,1,1,1,0
511,0,1,1,1,0,0,1,1,1,0
512,0,1,1,1,0,1,1,1,1,0
513,0,1,1,1,0,1,1,1,1,0
514,0,1,1,1,0,1,1,1,1,0
515,0,1,1,0,0,0,0,0,1,0
516,0,1,1,0,0,0,0,0,1,0
517,0,1,1,0,0,0,0,0,1,0
518,0,1,1,0,0,0,0,0,1,0
519,0,1,1,1,0,1,1,1,1,0
520,0,1,1,1,0,1,1,1,1,0
521,0,1,1,1,0,0,1,1,1,0
522,0,1,1,1,0,1,1,1,1,0
523,0,1,1,0,0,1,1,1,1,0
524,0,0,1,1,0,1,1,1,1,0
525,0,1,1,0,0,1,1,1,1,0
526,1,1,1,1,1,1,1,1,1,1
527,0,1,1,0,0,1,1,1,1,0
528,0,0,1,1,0,1,0,1,1,0
529,0,0,1,1,0,0,0,0,1,0
530,0,0,1,1,0,0,0,0,1,0
531,0,1,1,1,0,0,1,1,1,0
532,0,1,1,0,0,0,0,0,1,0
533,0,1,1,1,0,1,1,1,1,0
534,0,1,1,1,0,1,1,1,1,0
535,0,1,1,0,0,0,0,0,1,0
536,0,0,1,1,0,1,0,1,1,0
537,0,1,1,1,0,1,1,1,1,0
538,0,1,1,0,0,1,1,1,1,0
539,0,0,1,1,0,0,0,0,1,0
540,0,0,1,1,0,1,0,1,1,0
541,0,1,1,0,0,1,1,1,1,0
542,1,1,1,1,1,1,1,1,1,1
543,0,1,1,1,0,1,1,1,1,0
544,0,1,1,1,0,1,1,1,1,0
545,0,1,1,1,0,1,1,1,1,0
546,0,1,1,0,0,0,0,0,1,0
547,0,0,1,0,0,0,1,1,0,0
548,0,0,1,0,0,0,1,1,0,0
549,0,1,1,1,0,1,1,1,1,0
550,0,1,1,1,0,1,1,1,1,0
551,0,1,1,1,0,1,1,1,1,0
552,0,1,1,1,0,1,1,1,1,0
553,0,1,1,1,0,1,1,1,1,0
554,0,1,1,1,0,1,1,1,1,0
555,0,1,1,1,0,1,1,1,1,0
556,0,1,1,0,0,1,1,1,1,0
557,0,1,1,1,0,1,1,1,1,0
558,0,0,1,1,0,0,1,1,1,0
559,0,1,1,1,0,1,1,1,1,0
560,0,1,1,1,0,1,1,1,1,0
561,0,1,1,1,0,1,1,1,1,0
562,0,1,1,1,0,1,1,1,1,0
563,0,0,1,1,0,1,1,1,1,0
564,0,1,1,1,0,1,1,1,1,0
565,0,0,1,1,0,0,0,0,1,0
566,0,0,1,1,0,1,1,1,1,0
567,0,1,1,1,0,1,1,1,1,0
568,0,1,1,0,0,0,0,0,1,0
569,0,0,1,0,0,0,1,1,0,0
570,0,1,1,1,0,1,1,1,1,0
571,0,0,1,1,0,0,1,1,1,0
572,1,1,1,1,1,1,1,1,1,1
573,0,0,1,0,0,0,1,1,0,0
574,0,1,1,1,0,0,1,1,1,0
575,0,1,1,0,0,0,0,0,1,0
576,0,0,1,1,0,0,1,1,1,0
577,0,1,1,1,0,1,1,1,1,0
578,0,0,1,1,0,0,1,1,1,0
579,0,0,1,0,0,0,1,1,0,0
580,0,1,1,1,0,0,1,1,1,0
581,0,1,1,1,0,0,1,1,1,0
582,0,1,1,1,0,1,1,1,1,0
583,0,0,1,1,0,1,1,1,1,0
584,0,0,1,0,0,0,1,1,0,0
585,0,0,1,0,0,0,1,1,0,0
586,0,1,1,0,0,0,0,0,1,0
587,1,1,1,1,1,1,1,1,1,1
588,0,1,1,1,0,1,1,1,1,0
589,0,1,1,0,0,0,0,0,1,0
590,0,1,1,0,0,0,0,0,1,0
591,0,1,1,0,0,0,0,0,1,0
592,1,1,1,1,1,1,1,1,1,1
593,1,1,1,1,1,1,1,1,1,0
594,1,1,1,1,1,1,1,1,1,1
595,0,1,1,0,0,0,0,0,1,0
596,1,1,1,1,1,1,1,1,1,1
597,0,1,1,0,0,0,0,0,1,0
598,0,0,1,1,0,0,0,0,1,0
599,0,0,1,1,0,1,1,1,1,0
600,0,0,1,0,0,0,1,1,0,0
601,0,0,1,1,0,0,1,1,1,0
602,0,0,1,1,0,0,0,0,1,0
603,1,1,1,1,1,1,1,1,1,1
604,0,1,1,0,0,0,0,0,1,0
605,1,1,1,1,1,1,1,1,1,0
606,1,1,1,1,0,1,1,1,1,0
607,0,0,1,0,0,0,1,1,0,0
608,1,1,1,1,0,1,1,1,1,0
609,0,0,0,0,0,0,0,1,0,0
610,0,1,1,1,0,1,1,1,1,0
611,0,0,1,0,0,0,1,1,0,0
612,0,0,0,0,0,0,0,1,0,0
613,0,0,1,1,0,1,1,1,1,0
614,0,0,1,1,0,1,1,1,1,0
615,0,1,1,0,0,0,0,0,1,0
616,0,1,1,0,0,0,0,0,1,0
617,0,1,1,0,0,0,0,0,1,0
618,0,1,1,0,0,0,0,0,1,0
619,0,1,1,1,0,1,1,1,1,0
620,0,1,1,0,0,0,0,0,1,0
621,0,0,1,0,0,0,1,1,0,0
622,0,1,1,0,0,0,0,0,1,0
623,0,1,1,0,0,0,0,0,1,0
624,0,1,1,1,0,1,1,1,1,0
625,0,1,1,0,0,0,0,0,1,0
626,0,0,1,1,0,1,0,1,1,0
627,1,1,1,1,1,1,1,1,1,0
628,1,1,1,1,1,1,1,1,1,0
629,0,0,1,0,0,0,0,1,0,0
630,0,0,1,1,0,0,0,0,1,0
631,0,0,1,1,0,0,0,0,1,0
